name,cam_lat,cam_long,elev,code,dir,fov_center,fov_lft,fov_rt,num_events,event_dates,x_pixel,y_pixel,incident,incident_dist,incident_latitude,incident_longitude,check
Boucher Hill,33.3346,-116.9198,5500,bh,w,"[-117.45685866220713, 33.3346]","[-117.29818521585511, 33.01524117811554]","[-117.30095166269716, 33.6527813298777]",8,20191001,1090,1124,None,0,0,0,0
Boucher Hill,33.3346,-116.9198,5500,bh,w,"[-117.45685866220713, 33.3346]","[-117.29818521585511, 33.01524117811554]","[-117.30095166269716, 33.6527813298777]",8,20201003,780,1196,None,0,0,0,0
Boucher Hill,33.3346,-116.9198,5500,bh,w,"[-117.45685866220713, 33.3346]","[-117.29818521585511, 33.01524117811554]","[-117.30095166269716, 33.6527813298777]",8,20201223,1879,1128,None,0,0,0,0
Cuyamaca Peak,32.946434,-116.606575,6500,cp,s,"[-116.61, 32.4991416236951]","[-116.23324190491, 32.63062985757738]","[-116.98675809509, 32.63062985757738]",3,20200829,1143,1088,None,0,0,0,0
Cuyamaca Peak,32.946434,-116.606575,6500,cp,s,"[-116.61, 32.4991416236951]","[-116.23324190491, 32.63062985757738]","[-116.98675809509, 32.63062985757738]",3,20201013,2581,1151,None,0,0,0,0
High Point,33.363018,-116.83622,6180,hp,n,"[-116.84, 33.81079597072698]","[-117.22126369140182, 33.6781794593324]","[-116.4587363085982, 33.678179459332405]",9,20200807,966,738,None,0,0,0,0
High Point,33.363018,-116.83622,6180,hp,e,"[-116.30278538329296, 33.36]","[-116.4587363085982, 33.678179459332405]","[-116.46150622782201, 33.04064192734967]",2,20210209,863,824,None,0,0,0,0
High Point,33.363018,-116.83622,6180,hp,w,"[-117.37721461670705, 33.36]","[-117.218493772178, 33.04064192734967]","[-117.22126369140182, 33.6781794593324]",3,20200205,604,704,None,0,0,0,0
Los Pinos,32.734673,-116.577751,4800,pi,e,"[-116.04659616305612, 32.73]","[-116.20147379070163, 33.04822561243623]","[-116.20415877907386, 32.41062340363592]",5,20190829,1351,741,None,0,0,0,0
Los Pinos,32.734673,-116.577751,4800,pi,e,"[-116.04659616305612, 32.73]","[-116.20147379070163, 33.04822561243623]","[-116.20415877907386, 32.41062340363592]",5,20200601,1241,750,None,0,0,0,0
