camera_id,direction,camera_name,image_id,long,lat,elevation,geometry.type,geometry.coordinates,x_resolution,y_resolution,center_lat,center_long,properties.description.url
hpwren21_north,north,Red Mountain,rm-n-mobo-c,-117.1905,33.4008,1600.0,Point,"[-117.1905, 33.4008, 1600]",3072.0,2048.0,33.41066605,-117.1908729,http://hpwren.ucsd.edu/cameras/RedM.html
hpwren21_east,east,Red Mountain,rm-e-mobo-c,-117.1905,33.4008,1600.0,Point,"[-117.1905, 33.4008, 1600]",3072.0,2048.0,33.40076747,-117.1862292,http://hpwren.ucsd.edu/cameras/RedM.html
hpwren21_south,south,Red Mountain,rm-s-mobo-c,-117.1905,33.4008,1600.0,Point,"[-117.1905, 33.4008, 1600]",3072.0,2048.0,33.39112605,-117.1903989,http://hpwren.ucsd.edu/cameras/RedM.html
hpwren21_west,west,Red Mountain,rm-w-mobo-c,-117.1905,33.4008,1600.0,Point,"[-117.1905, 33.4008, 1600]",3072.0,2048.0,33.40058484,-117.2004684,http://hpwren.ucsd.edu/cameras/RedM.html
hpwren22_north,north,San Clemente,sclm-n-mobo-c,-117.5973412,33.43141853,870.0,Point,"[-117.5974, 33.4314, 870]",3072.0,2048.0,33.47843101,-117.5790061,http://hpwren.ucsd.edu/cameras/sclm.html
hpwren22_east,east,San Clemente,sclm-e-mobo-c,-117.5973412,33.43141853,870.0,Point,"[-117.5974, 33.4314, 870]",3072.0,2048.0,33.43119726,-117.5858301,http://hpwren.ucsd.edu/cameras/sclm.html
hpwren22_south,south,San Clemente,sclm-s-mobo-c,-117.5973412,33.43141853,870.0,Point,"[-117.5974, 33.4314, 870]",3072.0,2048.0,33.43010171,-117.5972947,http://hpwren.ucsd.edu/cameras/sclm.html
hpwren22_west,west,San Clemente,sclm-w-mobo-c,-117.5973412,33.43141853,870.0,Point,"[-117.5974, 33.4314, 870]",3072.0,2048.0,33.43994077,-117.6351622,http://hpwren.ucsd.edu/cameras/sclm.html
hpwren23_east,east,San Diego Supercomputer Center,sdsc-e-mobo-c,-117.239762,32.88444531,425.0,Point,"[-117.24, 32.88, 425]",2048.0,1536.0,32.88279027,-117.2257347,http://hpwren.ucsd.edu/cameras/sdsc-e-mobo.html
hpwren24_north,north,San Juan Hills,sjh-n-mobo-c,-117.6031176,33.50294205,1177.0,Point,"[-117.6031, 33.5029, 1177]",3072.0,2048.0,33.50959831,-117.6028375,http://hpwren.ucsd.edu/cameras/sjh.html
