,Unnamed: 0,Unnamed: 0.1,camera_id,camera_name,hpweren_camera_description,cam_lat,cam_long,station,dir,center_lat,center_long,elevation,x_resolution,y_resolution,cl_angle,center_angle
102,102,102,na,stgo-n-mobo-c,Santiago Peak,33.71117247,-117.534115,stgo,n,33.73863279,-117.5394768,5700,3072,2048,0.1928301599305741,0.19283015993057415
103,103,103,na,stgo-e-mobo-c,Santiago Peak,33.71117247,-117.534115,stgo,e,33.71129005,-117.5318059,5700,3072,2048,0.0508763303572783,0.05087633035727839
104,104,104,na,stgo-s-mobo-c,Santiago Peak,33.71117247,-117.534115,stgo,s,33.71041572,-117.5340423,5700,3072,2048,0.0957747950525518,0.09577479505255185
105,105,105,na,stgo-w-mobo-c,Santiago Peak,33.71117247,-117.534115,stgo,w,33.71050284,-117.5545014,5700,3072,2048,0.0328350925292812,0.032835092529281226
106,106,106,hpwren26_north,signal-n-mobo-c,Signal Peak,33.60523424,-117.810884,signal,n,33.60613199,-117.8109116,1000,3072,2048,0.0307338450698704,0.03073384506987043
107,107,107,hpwren26_east,signal-e-mobo-c,Signal Peak,33.60523424,-117.810884,signal,e,33.60532268,-117.8085619,1000,3072,2048,0.038067815630644,0.03806781563064408
108,108,108,hpwren26_south,signal-s-mobo-c,Signal Peak,33.60523424,-117.810884,signal,s,33.60423073,-117.810847,1000,3072,2048,0.0368538900877557,0.0368538900877557
109,109,109,hpwren26_west,signal-w-mobo-c,Signal Peak,33.60523424,-117.810884,signal,w,33.60523689,-117.8145783,1000,3072,2048,-0.0007173211553175,-0.0007173211553175974
110,110,110,hpwren27_north,sojr-n-mobo-c,Sky Oaks,33.37865603,-116.6222928,sojr,n,33.38598819,-116.6225236,4975,3072,2048,0.0314673733144116,0.03146737331441162
111,111,111,hpwren27_east,sojr-e-mobo-c,Sky Oaks,33.37865603,-116.6222928,sojr,e,33.37921665,-116.5776249,4975,3072,2048,0.0125501885198147,0.012550188519814745
112,112,112,hpwren27_south,sojr-s-mobo-c,Sky Oaks,33.37865603,-116.6222928,sojr,s,33.37452052,-116.6221394,4975,3072,2048,0.0370763709313607,0.0370763709313607
113,113,113,hpwren27_west,sojr-w-mobo-c,Sky Oaks,33.37865603,-116.6222928,sojr,w,33.37855199,-116.6258053,4975,3072,2048,0.0296112711323898,0.02961127113238987
114,114,114,hpwren28_north,tp-n-mobo-c,Toro Peak,33.52353103,-116.4257027,tp,n,33.77724869,-116.4184919,8800,3072,2048,-0.0284129196355142,-0.02841291963551428
115,115,115,hpwren28_east,tp-e-mobo-c,Toro Peak,33.52353103,-116.4257027,tp,e,33.52623974,-116.1473642,8800,3072,2048,0.0097314043666469,0.009731404366646965
116,116,116,hpwren28_south,tp-s-mobo-c,Toro Peak,33.52353103,-116.4257027,tp,s,33.27637745,-116.3898008,8800,3072,2048,0.1442525283170957,0.1442525283170957
117,117,117,hpwren28_west,tp-w-mobo-c,Toro Peak,33.52353103,-116.4257027,tp,w,33.50062934,-116.6702284,8800,3072,2048,0.0933851845940878,0.09338518459408782
118,118,118,hpwren29_north,starr-n-mobo-c,Upper Bell,33.61244314,-117.5486414,starr,n,33.61537688,-117.5489481,1000,3072,2048,0.104163951807961,0.10416395180796105
119,119,119,hpwren29_east,starr-e-mobo-c,Upper Bell,33.61244314,-117.5486414,starr,e,33.61412883,-117.5155022,1000,3072,2048,0.0508231452587938,0.05082314525879382
120,120,120,hpwren29_south,starr-s-mobo-c,Upper Bell,33.61244314,-117.5486414,starr,s,33.59300023,-117.5467179,1000,3072,2048,0.0986097924485393,0.09860979244853932
121,121,121,hpwren29_west,starr-w-mobo-c,Upper Bell,33.61244314,-117.5486414,starr,w,33.61068023,-117.5713795,1000,3072,2048,0.0773763137208952,0.07737631372089526
122,122,122,hpwren30_north,marconi-n-mobo-c,Upper Talega,33.51912725,-117.480907,marconi,n,33.5244452,-117.4811579,2300,3072,2048,0.0471448745705584,0.04714487457055848
123,123,123,hpwren30_east,marconi-e-mobo-c,Upper Talega,33.51912725,-117.480907,marconi,e,33.51918603,-117.4783761,2300,3072,2048,0.0232207652697256,0.023220765269725677
124,124,124,hpwren30_south,marconi-s-mobo-c,Upper Talega,33.51912725,-117.480907,marconi,s,33.51453296,-117.480751,2300,3072,2048,0.0339421516230366,0.033942151623036605
125,125,125,hpwren30_west,marconi-w-mobo-c,Upper Talega,33.51912725,-117.480907,marconi,w,33.51797356,-117.5290868,2300,3072,2048,0.0239409373220928,0.02394093732209281
126,126,126,na,ws-n-mobo-c,White Star,32.647266,-116.318014,ws,n,32.65087451,-116.3179544,4000,3072,2048,-0.0165150107263405,-0.016515010726340575
127,127,127,na,ws-e-mobo-c,White Star,32.647266,-116.318014,ws,e,32.64640538,-116.3059413,4000,3072,2048,-0.0711660695463817,-0.07116606954638173
128,128,128,na,ws-s-mobo-c,White Star,32.647266,-116.318014,ws,s,32.64474228,-116.3179852,4000,3072,2048,0.011411230217139,0.01141123021713905
129,129,129,na,ws-w-mobo-c,White Star,32.647266,-116.318014,ws,w,32.64743154,-116.3223024,4000,3072,2048,-0.0385826531413095,-0.03858265314130958
